"","when","will_to_live","activity","weather"
"1","10:20:54 ",7,"food","rain"
"2","10:51:53 ",4,"internet commentary","rain"
"3","11:22:00 ",4,"coding","rain"
"4","11:47:04 ",2,"coding","rain"
"5","11:59:20 ",3,"math","rain"
"6","12:30:01 ",3,"math","rain"
"7","13:01:50 ",5,"math","rain"
"8","13:37:01 ",3,"math","rain"
"9","14:07:26 ",8,"reading/writing","rain"
"10","14:35:42 ",7,"reading/writing","rain"
"11","14:59:34 ",9,"reading/writing","rain"
"12","15:32:46 ",8,"reading/writing","rain"
"13","16:00:47 ",8,"reading/writing","rain"
"14","16:31:18 ",6,"coding","rain"
"15","17:01:46 ",7,"food","rain"
"16","17:35:11 ",9,"food","rain"
"17","18:36:20 ",10,"food","rain"
"18","19:17:59 ",10,"food","rain"
"19","19:55:00 ",8,"reading/writing","rain"
"20","20:49:44 ",9,"friends","rain"
"21","21:22:14 ",9,"friends","rain"
"22","21:54:45 ",8,"friends","rain"
"23","22:51:29 ",7,"reading/writing","rain"
